TITLE,COMPANY,LOCATION,LINK
Buyer - LA Office,rue21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=14d8d5fb5578ae71
H&M Retail Flagship Visual Merchandiser,H&M,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=ebb04f0656f4f02f
Public Relations Intern - FASHION/ENTERTAINMENT INDUSTRY,PREFACE PUBLIC RELATIONS,"West Hollywood, CA",https://www.indeed.com/viewjob?jk=9ec5d92de8d50a1b
Fashion Designer,HouseOfBloom Fashion,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=28439546eda05b3d
Fashion Knit's & Woven's Buyer - LA Office,rue21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=6310d3ee6bd3a0bc
Associate Styling Manager,GUESS?. INC.,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a652d0ebf4d5e499
Customer Service Representative - Wholesale Women's Footwear & Fashion,LUV Fashion,"Industry, CA",https://www.indeed.com/viewjob?jk=cd54e1e032dd45c8
LA Kids - Fashion/Textile - Recreation Instructor,Los Angeles Department of Recreation And Parks,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=78910ce6ea66689e
Fashion PR Specialist,Nana Jacqueline,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=0ebbf0dc39c081d2
PRODUCTION COORDINATOR (WOMEN'S FASHION),LOST + WANDER,"Vernon, CA",https://www.indeed.com/viewjob?jk=884161f526e392ec
Retail Sales Men's Apparel Grove at Farmer's Market,Nordstrom,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=e40648b20e51bfe3
Technical Fashion Designer,"Coalition Apparel, Inc.","Monterey Park, CA",https://www.indeed.com/viewjob?jk=e483be21962cbb3e
Customer Service - Apparel Wholesale,YELETE,"Commerce, CA",https://www.indeed.com/viewjob?jk=ac6a56cea0ab6490
Production Manager,Gold Hawk Clothing,"Vernon, CA",https://www.indeed.com/viewjob?jk=0c70e4f494713056
Fashion designer for a SHORT FILM,LMAM,"Hollywood, CA",https://www.indeed.com/viewjob?jk=50c5585903c54e03
Sr. Associate Product Developer (Domestic),REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=50764394a8c2c48e
"Production Assistant, Fashion Apparel (Temp)","Lucky Brand, Inc.","Los Angeles, CA",https://www.indeed.com/viewjob?jk=eec4919967fb8642
Bridal Sales Stylist,Nicole Spose,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=0b4a613a5fce70a7
PRODUCTION COORDINATOR (APPAREL),Apparel Development & Wholesale,"Vernon, CA",https://www.indeed.com/viewjob?jk=e906c3d3993143a0
Apparel Garment Fit Model,Rsgactive,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=7dfa96154ffa85c0
Assistant Buyer,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=e9a25e3fd59d1d34
Production Assistant,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=d81aff8af960aca1
Photographer,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=057f73d4ba05ee55
"Junior Buyer, Beauty",REVOLVE,"Cerritos, CA",https://www.indeed.com/viewjob?jk=b81f2963c6872e19
ASSOCIATE DESIGNER and ASSISTANT DESIGNER,LOVE TREE,"Vernon, CA",https://www.indeed.com/viewjob?jk=346b5ee2c17e47e5
Fabric R&D Assistant,REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=e6e7bc4bb3f6e7c3
Assistant Buyer Intern - Los Angeles,Ross Stores,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=45cff6bfff499eaf
Fashion Designer Assistant,Alla Berman,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=da553d85d352f6d1
Product Developer - LA Office,rue21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=74dfde30915b9bdf
Paid Fashion & Marketing Internship,T.J. Designs,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=3c5d85d17f59bf17
FASHION PR SHOWROOM Intern,TATA PR,"Beverly Hills, CA",https://www.indeed.com/viewjob?jk=65e135a18065fe62
Technical Designer - Product Development,rue21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2522dc40b0d5ec89
Costume Designer,CHE BY CHE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=440c7125d748b906
Loungefly Assistant Product Developer,Funko,"Burbank, CA",https://www.indeed.com/viewjob?jk=413db37fe5440fab
Warehouse Clerk,Duelle Fashion Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a78edb50d06eac3f
Picker/Packer - Apparel,"Incremento, Inc.","Vernon, CA",https://www.indeed.com/viewjob?jk=2eee4968e1ecba5f
Retention Marketing Manager (Fashion/Ecommerce),Creative Circle,"Vernon, CA",https://www.indeed.com/viewjob?jk=67dadc0977d118c0
Videographer,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=fbfef11302f22010
Color & Material Designer,Fisker Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=0f87adcf937bc9ab
PrePro Assistant - Women's Clothing / Fashion (preproduction),Dee Elly,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=83a669f57df4e01a
Fit Coordinator/Fit Model - Plus,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=0cf5fd9f2ae17fca
Loss Prevention Investigator,Fashion Nova - Careers,"Santa Fe Springs, CA",https://www.indeed.com/viewjob?jk=2fa444592f359ba6
Fashion Program Operations Assistant,New Economics for Women,"Canoga Park, CA",https://www.indeed.com/viewjob?jk=62cc9b2a9c46e8b1
PO Clerk/Assistant Buying,24 Seven,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2153ec81facabe65
Fashion Design Intern for ST CULTURE ADVOCACY,St Culture Advocacy,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=249d056e07f7526b
Seasonal Visual Merchandiser Santa Anita,Nordstrom,"Arcadia, CA",https://www.indeed.com/viewjob?jk=30e6e007d5bb0475
Executive Strategy Associate – Global Fashion Brands,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=b6c11614bd4c0e8a
Assistant Office Manager - Fashion Model Casting & Scheduling,GDL Creatives Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=85d57f62a113b395
Denim Product Development Associate,Reformation,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f36cbfca66ed015f
Seasonal Cashier,JCPenney ( Del Amo Fashion Center),"Torrance, CA",https://www.indeed.com/viewjob?jk=508edb213598135c
Fashion PR Showroom Intern,3 Public Relations,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=54e2dc582932cbbe
Online Fashion Stylist Assistant,Lucy in the Sky,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f59d4bce8fc9d5ca
Denim Designer,Flying Monkey,"Pico Rivera, CA",https://www.indeed.com/viewjob?jk=e34ad897e6e0bbd2
Office Assistant,Confidential Beauty/Fashion Company,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=275d849a3a11bf95
Sales Associate/Stylist,Windsor Fashions Inc.,"Montebello, CA",https://www.indeed.com/viewjob?jk=46cad435bf6af797
Fashion Design Internship,FRNMY,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=c484abe48e0026f5
Fashion Data Entry for Website Updates,Eye Candy LA,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=8db06d477e71bff7
"Beauty Merchandiser, Full Time: Del Amo Fashion Center",Macy's,"Torrance, CA",https://www.indeed.com/viewjob?jk=2556bfaae7cafc2d
Marketing Assistant to Fashion Company,FinSwim LA,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=d2f1fc6af25f1891
Stylist (part-time),Buck Mason,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a2a011e405331303
Associate Designer - Active,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=56f2b044bfb2540b
National Hiring Event,JCPenney ( Del Amo Fashion Center),"Torrance, CA",https://www.indeed.com/viewjob?jk=5ad9e5476fdde541
Stylist,Kendra Scott,"El Segundo, CA",https://www.indeed.com/viewjob?jk=a0cf1c79523d0b0a
Merchandise Planner,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=83b117ba5c15188b
Seasonal Visual Merchandiser Los Cerritos Center,Nordstrom,"Cerritos, CA",https://www.indeed.com/viewjob?jk=8c2cc405c8705543
Apparel Pattern Manager - STATEMENT Top Creators,adidas,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f2ff355d5baf6962
Freelance Costume Design/Vis Dev Artist,Bento Box Entertainment,"Glendale, CA",https://www.indeed.com/viewjob?jk=05122f89d5a77e11
Technical Designer - Performance and Swim,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=07c623dcbdac95c8
Replenishment Buyer - Tops,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=84adbfad02ad75ee
Fashion & Lifestyle PR Internship,Dietch PR,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2445c4850b079489
WAREHOUSING,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=028347560824891f
Production Coordinator,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=e2a4cb771880ec87
Assistant Designer,Secret Charm LLC,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=ee9db8976de30d20
Apparel Graphic Designer,Misunderstood Genius,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=db839ce60d81ff8b
MAREKETING SPECIALISTS,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2b56815cb6e7131e
Marketing Coordinator - ShoeDazzle,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=f233235d3d3a48da
Textile Designer,barabas,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=e81bdaa7d3b782bb
Warehouse Shipping Coordinator,Cloud Ten Fashion,"Huntington Park, CA",https://www.indeed.com/viewjob?jk=a41232853c68489b
Seasonal Visual Merchandiser Topanga Plaza,Nordstrom,"Canoga Park, CA",https://www.indeed.com/viewjob?jk=83ab662321b0eaf7
"Designer, Sweaters and Knits, NY",Rebecca Taylor,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=18326facf43849ee
"Associate, Designer - Joe's Jeans",Centric Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=4a2c5f95822a89ed
Creative Director,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=b244d5f05f88b26a
Warehouse Associate,Duelle Fashion Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=68d091e2575cbe87
"Buyer Specialist, SOURCING",Informa,"Santa Monica, CA",https://www.indeed.com/viewjob?jk=3e1b53578654a07a
Buyer,Ross Stores,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=9ea0bd5f4d5db9c8
Old Navy Brand Associate,Old Navy Del Amo Fashion Center,"Torrance, CA",https://www.indeed.com/viewjob?jk=9541226a2fad3610
H&M Retail Visual Merchandiser,H&M,"Downey, CA",https://www.indeed.com/viewjob?jk=e5f5f38fcfe5f9b8
"Territory Sales Manager - Los Angeles, CA Area",Springs Window Fashions,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=e92f1b60a159126c
Assistant Buyer - Headwear and Hosiery,Hot Topic Inc.,"Industry, CA",https://www.indeed.com/viewjob?jk=c29b472db5384651
Senior Manager of Risk,Fashion Nova - Careers,"Santa Fe Springs, CA",https://www.indeed.com/viewjob?jk=26222027850c1d59
"Production Assistant & Quality Control ""Fashion Apparel""",n:philanthropy,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=76ae8cd51b988c50
Seasonal Stylist,Kendra Scott,"El Segundo, CA",https://www.indeed.com/viewjob?jk=a79d2cf824bd50f4
Wildfox Apparel Graphic Artist,FAM Brands,"Bell, CA",https://www.indeed.com/viewjob?jk=039a9412a1ea7a12
sales,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=79fcc9ca700570da
Assistant Technical Designer,Made Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=fe0c5cb562fa47ac
Sales Account Executive for young contemporary,Edgemine Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a4dfe3a0353160c1
Associate Textile Designer,"Lucky Brand, Inc.","Los Angeles, CA",https://www.indeed.com/viewjob?jk=2eff853dc6bd73ee
Director of eCommerce Merchandising - LA Office,rue21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=78b296c8f608a739
Apparel Production Coordinator,FAM Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=b457cd1758a16db4
trade show sales,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=10a171ab80c413fd
Merchant/Buyer,"National Warehouse Management, LLC","Beverly Hills, CA",https://www.indeed.com/viewjob?jk=e1de7bc65f9a33b0
Garment Warehouse - Receiving,Bella Dahl,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2d335c71c3395fa0
"Manager of Strategic Operations, Global Member Services",TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=dca586d7807d0faa
Apparel Sales Representative,Trumaker,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=e121b7f3c5fd5789
Assistant Knitwear Designer,REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=d4075026d2d0fb19
Executive Strategy Associate,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=6b4e34db8ed8c83a
Footwear Product Developer – JustFab,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=9fca0f5568013dd9
Executive Strategy Associate - Fabletics,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=e4c81c944a6c28c3
Product Developer,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=69b4e3c19b961f8e
Fashion & Lifestyle PR Internship,Dietch PR,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2445c4850b079489
Executive Strategy Associate,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=6b4e34db8ed8c83a
"Associate, Designer - Joe's Jeans",Centric Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=4a2c5f95822a89ed
Warehouse Associate,Duelle Fashion Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=68d091e2575cbe87
Sales Account Executive for young contemporary,Edgemine Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a4dfe3a0353160c1
Seasonal Stylist,Kendra Scott,"El Segundo, CA",https://www.indeed.com/viewjob?jk=a79d2cf824bd50f4
Associate Textile Designer,"Lucky Brand, Inc.","Los Angeles, CA",https://www.indeed.com/viewjob?jk=2eff853dc6bd73ee
Apparel Production Coordinator,FAM Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=b457cd1758a16db4
Production Coordinator / Apparel Merchandiser,United Business Corporation,"El Monte, CA",https://www.indeed.com/viewjob?jk=9952d8b05cd2d940
Garment Warehouse - Receiving,Bella Dahl,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2d335c71c3395fa0
Senior Accountant,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=01827a282ca83cca
Wildfox Apparel Graphic Artist,FAM Brands,"Bell, CA",https://www.indeed.com/viewjob?jk=039a9412a1ea7a12
Associate Designer,Phoenix Textile,"Gardena, CA",https://www.indeed.com/viewjob?jk=eb4f7bf6395b82db
"Retail Store Manager - Century City Mall - Los Angeles,CA - SWAROVSKI",Swarovski,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f443b3ddd0ab3fc6
trade show sales,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=10a171ab80c413fd
"Senior Designer, Footwear- Top Creator",adidas,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=c06e73665d8e7d00
Visual Merchandiser Topanga,Nordstrom,"Canoga Park, CA",https://www.indeed.com/viewjob?jk=00dc105a6c556b6d
Assistant Knitwear Designer,REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=d4075026d2d0fb19
Seasonal Visual Merchandiser Santa Monica Place,Nordstrom,"Santa Monica, CA",https://www.indeed.com/viewjob?jk=beb50093179ba094
APPAREL DESIGN ASSISTANT,APPAREL CO,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f1e4362099139baa
Import Production Assistant (Fit Technician),"Privy, Inc.","Vernon, CA",https://www.indeed.com/viewjob?jk=a879236ff77023f7
merchandising,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f257ebcd0321ea1d
Footwear Product Developer – JustFab,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=9fca0f5568013dd9
Apparel Sales Representative,Trumaker,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=e121b7f3c5fd5789
Apparel Production Manager,FAM Brands,"Bell, CA",https://www.indeed.com/viewjob?jk=f3088afa238242d6
Executive Strategy Associate - Fabletics,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=e4c81c944a6c28c3
Seasonal Retail Sales Associate (Men's Apparel),Nordstrom,"Glendale, CA",https://www.indeed.com/viewjob?jk=b360bfb2f1a30dab
e-Commerce Apparel Production,"SCEVEN CUSTOMS, INC.","Vernon, CA",https://www.indeed.com/viewjob?jk=ff380ca1bf29fd68
GRAPHIC DESIGNER,Sugarpill,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=17eb262749901f55
Old Navy Brand Associate - Early AM Truck and Merchandising,Old Navy Del Amo Fashion Center,"Torrance, CA",https://www.indeed.com/viewjob?jk=7faf45939ff39319
Workforce Management Manager,Fashion Nova - Careers,"Santa Fe Springs, CA",https://www.indeed.com/viewjob?jk=df6ca91982ff81d5
Senior IT Service Desk Technician,Techstyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=9e509741b553b444
Associate Designer: Menswear Woven Jackets and Bottoms,Buck Mason,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=c63f95516c677fbf
Senior Apparel Production Coordinator,FAM Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=4a3d4b4f9461af4c
Graphic Designer,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=7c022bf90e2ff573
Retention Marketing Manager,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=6c11dbb58620c2d4
Retail Sales Mens Apparel Santa Monica,Nordstrom,"Santa Monica, CA",https://www.indeed.com/viewjob?jk=591e677375374ba9
Associate Denim Designer,Just Panmaco Inc.,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=90210303796c0d1c
Denim Technical Designer,Reformation,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=cc4f3f35472db1a7
Design Director,Beyond Yoga,"Culver City, CA",https://www.indeed.com/viewjob?jk=3ed7065eda1993d1
Customer Relations Manager,BELLISSIMA FASHION,"Industry, CA",https://www.indeed.com/viewjob?jk=f55ea958d09c1086
Retention Marketing Manager (Fashion/Ecommerce),Creative Circle,"Vernon, CA",https://www.indeed.com/viewjob?jk=67dadc0977d118c0
"Retail Seasonal Store Associate, Fabletics",TechStyle Fashion Group,"Torrance, CA",https://www.indeed.com/viewjob?jk=beebe170a4362931
Operations Associate,JCPenney ( Del Amo Fashion Center),"Torrance, CA",https://www.indeed.com/viewjob?jk=9f77b570e46b1373
Apparel wholesale customer service (online order processing),Edgemine Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=ed98b22acad93fe8
Production/Design Assistant- Activewear,NUXactive,"Vernon, CA",https://www.indeed.com/viewjob?jk=d58a8c72f117abc9
"Assistant Designer, Men’s Wovens, LA",Vince LLC,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=9d3a15592252a1ad
Buyer- Trend Apparel,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=f1a2cc86a3540d9a
Senior Designer: Menswear Collection: Wovens,Buck Mason,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=adacaa484e6eed02
Social Media Intern for trendy fashion brand - offering college credit,TheAudacity,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=0cc32746be8ce637
Production Coordinator / Apparel Merchandiser,United Business Corporation,"El Monte, CA",https://www.indeed.com/viewjob?jk=9952d8b05cd2d940
Apparel Licensing Coordinator,FAM Brands,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=2aff8450a8004068
In House Quality Control Auditor,Reformation,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=160a40d2a3231f4b
Influencer Marketing Manager - ShoeDazzle,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=c4fb94576cbd3d9f
Studio Art Director,Fashion Nova - Careers,"Vernon, CA",https://www.indeed.com/viewjob?jk=fc6185a60063fc83
Marketing and Social Media Manager - Apparel Industry,"Incremento, Inc.","Los Angeles, CA",https://www.indeed.com/viewjob?jk=30dad07e9b7857a7
seo,Whole Sale Fashion Jewelry 21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f7577c922683f465
Sales Associate,BEAST Fashion,"Industry, CA",https://www.indeed.com/viewjob?jk=999ad7df6575a918
